id	sentence1	sentence2	label
train_48632	"This provides clear evidence of M-BERT's multilingual representation ability, mapping structures onto new vocabularies based on a shared representation induced solely from monolingual language model training data."	"cross-script transfer is less accurate for other pairs, such as English and Japanese, indicating that M-BERT's multilingual representation is not able to generalize equally well in all cases."	contrasting
train_115340	"Indeed we find that this distribution is too sharp and overemphasises short phrases, so we use f C = 1."	it does allow us to rank target phrases as possible translations.	contrasting
train_10121	"Because these features consider multiple edges, including them in the CRF model would make exact inference intractable (McDonald and Satta, 2007)."	"the CRF may consider the distance between head and child, whereas DMV does not model distance."	contrasting
train_11253	"We can retrieve positive examples from Web archive with high precision (but low recall) by manually augmenting queries with hypernyms or semantically related words (e.g., ""Loft AND shop"" or ""Loft AND stationary"")."	it is often costly to create negative examples.	contrasting
train_174390	These distinctions would be much more difficult to account for in textual format.	"it should not replace the textual resource altogether since other forms of information are better represented in textual format (definitions, contexts, etc.)."	contrasting
train_112699	"For instance, despite the fact that the sentences ""he is affected by AIDS"" and ""HIV is a virus"" express concepts closely related, their similarity is zero in the VSM because they have no words in common (they are represented by orthogonal vectors)."	"due to the ambiguity of the word ""virus"" , the similarity between the sentences ""the laptop has been infected by a virus"" and ""HIV is a virus"" is greater than zero, even though they convey very different messages."	contrasting
train_136568	"It is only recently that any work has introduced larger-scale novel metaphor annotations (Parde and Nielsen, 2018)."	"to our approach, they collect annotations on a relation level (see also Section 2)."	contrasting
train_103536	"Early user simulation techniques are based on Ngrams (Eckert et al., 1997; Levin and Pieraccini, 2000; Georgila et al., 2005; Georgila et al., 2006), ensuring that simulator responses to a machine utterance are sensible locally."	they do not enforce user consistency throughout the dialog.	contrasting
train_100786	"The ATS models do provide an integrated approach, but their lexical translation is limited to the word level."	"to prior work, we present a integrated approach that allows POS-based reordering and phrase translation."	contrasting
train_215978	Table 2 presents that combination of frequency based vectorizer and bigram model provided the highest F1 score result of 95.47 percent.	the lowest F1 score result we got among the above combinations was 90.9 percent and was obtained from tf-idf and trigram model.	contrasting
train_194717	"Back-translation has been dominantly used in these approaches, where pseudo sentence pairs are generated to train the translation systems with a reconstruction loss."	it is inefficient because the generated pseudo sentence pairs are usually of low quality.	contrasting
train_98519	Their ability to understand user spoken commands and identify the user's intent(s) is one of their main benefits.	this is a very challenging task due to the diversity of domains and languages they are required to support.	contrasting
train_109245	"The two main handtagged corpora are PropBank (Palmer et al., 2003) and FrameNet (Baker et al., 1998), the former of which currently has broader coverage."	"even PropBank, which is based on the 1M word WSJ section of the Penn Treebank, is insufficient in quantity and genre to exhibit many things."	contrasting
train_115882	"Clearly, this baseline is expected to perform worse than both our model and the universal types one since those are able to cover most of the sentences and thus, they are likely to produce more correct dependency relations."	it gives us an idea how much extra quality is gained when coverage improves.	contrasting
train_69247	"In fact, Fellbaum (1998) allows for more than one unique beginner per verb category."	cases where there is a large number of unique beginners in one category merit investigation.	contrasting
train_62311	"From the computational perspective, ε-entries represent the boundary between the results in Section 3 and Section 4."	"because we do not know whether the classes NP and EXPTIME can be separated, we cannot draw any precise conclusion about the role of ε-entries in the parsing problem."	contrasting
train_209172	"While the Air Traffic Services (ATS) of the CAAP agreed to accommodate interviews with the pilots and ATCS, it could not provide or release copies of the conversation transcripts."	"due to strong requisition of the study, the ATS released only three transcripts, ensuring that the airline companies remained anonymous."	contrasting
train_167935	Secondary data usually works as prime data in publication.	"in a language study, primary data itself is prime data in publication."	contrasting
train_165037	The number of subjective phrases within the different application categories is relatively constant.	the number of application aspects (from 149 to 287) and relations (104 to 237) varies much more.	contrasting
train_3575	"In contrast, RULE, SYM, and LE features did not affect the accuracy."	"if each of them was removed together with another feature, the accuracy decreased drastically."	contrasting
train_103158	Approaching temporal link labelling as a classification task has already been explored in several works.	"choosing the right feature vectors to build the classification model is still an open issue, especially for event-event classification, whose accuracy is still under 50%."	contrasting
train_35402	"The lexicon designers then manually contructed lexicons for each category, augmenting their intuitions by using distributional statistics to suggest words that may have been missed (Pennebaker et al., 2015)."	"we follow the approach of Biber (1991), using multidimensional analysis to identify latent groupings of markers based on co-occurrence statistics."	contrasting
train_45456	"In the left path, the model resolves adjacent arcs first."	"in the right path, distant arcs that rely on the global structure are resolved first."	contrasting
train_127181	"In this variant, word embeddings are used, as we are proposing in this paper, to map text content within generated summaries to SCUs."	"the SCUs still need to be manually identified, limiting this variant's scalability and applicability."	contrasting
train_203056	"Putting all of this evidence together, most transformational approaches claim that Japanese epistemic verb construction involves the RTO movement."	each piece of evidence that they adduce is indirect and shows that the accusative argument may undergo raising from an embedded clause.	contrasting
train_146662	"We observe that across queries (âˆ©Q), FTZ with entropy strategy has a balanced representation from all classes (high mean) with a high probability (low std) while Multinomial Naive Bayes (MNB) results in more biased queries (lower mean) with high probability (high std) as studied previously."	we did not find evidence of class bias in the resulting sample (âˆ©S) in both models: Fast-Text and Naive Bayes (column 5 and 6 from Table  2).	contrasting
train_9220	"Efficiency is maintained because such arbitrary disjunction is not needed to encode the most common forms of uncertainty, and thus the number of MDP states in the set can be kept small without losing accuracy."	allowing multiple MDP states provides the representational mechanism necessary to incorporate multiple speech recognition hypotheses into the belief state representation.	contrasting
train_85973	The dataset consists of rumours that emerged during eight different events.	three of these events evoked less than five rumours consisting of five or more tweets.	contrasting
train_182390	"In the field of machine translation, automatic metrics have proven quite valuable in system development for tracking progress and measuring the impact of incremental changes."	human judgment still plays a large role in the context of evaluating MT systems.	contrasting
train_118307	"We present the complete approach in three parts by describing the factored representation of the lexicon (Section 5), techniques for proposing potential new lexemes and templates (Section 6), and finally a complete learning algorithm (Section 7)."	the next section first reviews the required background on semantic parsing with CCG.	contrasting
train_218070	"For example, the WASH event in the TAKING A BATH scenario is often broken up into three mentions: wetting the hair, applying shampoo, and washing it again."	"because there is only one event type for the three mentions, this sequence is never observed in DeScript."	contrasting
train_16915	These methods usually learn a single model given a training set.	single models cannot deal with words from multiple language origins.	contrasting
train_39062	"Indeed, we can also observe that another CNN-based baseline, i.e., CNN-ASP implemented by us, also obtains good results on TWITTER."	the performance of those comparison methods is mostly unstable.	contrasting
train_85968	"In the early stages of a rumour, its actual veracity tends to be unknown."	"as new evidence emerges over time, Twitter users take more pronounced and continuously evolving stance towards the information asserted in the rumour."	contrasting
train_15204	"For example, (Hu and Liu, 2004;Nishikawa et al., 2010) have explored opinion summarization in review domain, and (Paul et al., 2010) summarizes contrastive viewpoints in opinionated text."	opinion summarization in spontaneous conversation is seldom studied.	contrasting
train_215131	"For example, in the sentences “Simmer (the sauce) until thickened. Add the pork, mix well for one minute.”using a grammatical pattern we will discover that simmer causes thickened (through the causal link until)."	"it will not discover that the sauce has to thicken, in order to add the pork."	contrasting
train_146649	"Deep neural networks (DNNs) trained on large datasets provide state-of-the-art results on various NLP problems (Devlin et al., 2019) including text classification (Howard and Ruder, 2018)."	the cost and time needed to get labeled data and to train models is a serious impediment to creating new and/or better models.	contrasting
train_136575	"For example, in this way the metaphor ""[...] the artistic temperament which kept her tight-coiled as a spring [...]"" (0.514) is treated as novel, while ""To quench [thirst] is more than to refresh [...]"" (0.424) is treated as conventionalized."	"since we provide the scores, this threshold can be adjusted to suit a given application."	contrasting
train_219475	It is encouraging to note that the new system achieves this performance without using any of the carefully-chosen heuristics employed by the previous method.	we do note that some of these techniques can be easily combined with our method to produce further improvements.	contrasting
train_91712	"Even though in the Wikipedia domain the TK+BF score is less than the baseline score, still the performance of the classifiers do not fall much in any of the in-domain and cross-domain experiments."	bF does not have a good performance in 5 of 6 the experiments.	contrasting
train_19398	"The most related work to ours is the boostVSM introduced by (He et al., 2007b), it proposes to weight different term dimensions with corresponding bursty scores."	it is still based on term dimensions and fails to deal with terms with multiple bursts.	contrasting
train_76485	One approach for building such a multilingual semantic parsing system is to develop a joint generative process from which both the semantic representations and the sentences in different languages are generated simultaneously.	building such a joint model is non-trivial.	contrasting
train_89918	"We tried numerous features that compare MeSH terms based on their distance in the ontology, and other features that indicate whether a word is part of a longer term."	none of these feature were selected for the final system.	contrasting
train_153282	Early studies on PPI extraction employ feature-based methods.	"the featurebased methods often fail to effectively capture the structured information, which is essential to identify the relationship between two proteins in a constituent or dependency-based syntactic representation."	contrasting
train_26480	Most previous topic labelling approaches focus on topics derived from well formatted and static documents.	"in contrast to this type of content, the labelling of topics derived from tweets presents different challenges."	contrasting
train_112153	Filtered Espresso halted after the seventh iteration (Filtered Espresso (optimal stopping)) is comparable to the proposed methods.	"in bootstrapping, not only the number of iterations but also a large number of parameters must be adjusted for each task and domain."	contrasting
train_89915	"Other utility functions, such as Dice, Jaccard and Hamming can be used as U set agreement ."	only metric-based utility functions will result in a metric-based U AM A utility function.	contrasting
train_62310	"The computational effect of grammar structure and grammar size on the parsing problem is rather well understood for several formalisms currently used in computational linguistics, including context-free grammar and TAG."	"to the best of our knowledge, this problem has not been investigated before for VW-CCG or other versions of CCG; see, for instance, Kuhlmann and Satta (2014) for discussion."	contrasting
train_174553	Systems capable of summarizing live streams of heterogeneous content can be directly beneficial to users and even assist journalists during their daily work.	this new task also comes with new challenges.	contrasting
train_194718	"Recently, neural-based methods (Chu et al., 2016; Grover and Mitra, 2017; GrÃ©goire and Langlais, 2018) aim to select potential parallel sentences from monolingual corpora in the same domain."	"these neural models need to be trained on a large parallel dataset first, which is not applicable to language pairs with limited supervision."	contrasting
train_36259	"The recently released MS Marco dataset (Nguyen et al., 2016) also contains independently authored questions and documents drawn from the search results."	the questions in the dataset are derived from search logs and the answers are crowdsourced.	contrasting
train_17739	Van den Bosch 2005 proposes a decision-tree classifier which has been applied to training datasets with more than 100M words.	his model is non-probabilistic and thus a standard comparison with probabilistic models in terms of perplexity isn't possible.	contrasting
train_85984	Results in Table 2 are obtained using gold stance labels.	this restricts the idea of stance-based rumour verification to only data where human stance labels are available.	contrasting
train_114004	"For example, if in such method, Hypothesis 3 is first aligned to the backbone, followed by Hypothesis 1, we are likely to arrive at the CN in Figure 2b) in which the two instances of Jeep are aligned."	"if Hypothesis 1 is aligned to the backbone first, we would still get the CN in Figure 2a)."	contrasting
train_219498	"If it turned out that almost all of the former leftward children of disfluent words are subsequently marked as disfluent, there would be little point in returning them to the stack -we could just mark them as disfluent in the original Edit transition."	"if they are almost all marked as fluent, perhaps they can just be attached as children to the first word of the buffer."	contrasting
train_213636	"In examining the results, we find that the correlation of our experiments with PYRAMID, at the micro-evaluation level, is not high enough; in spite of this, it is greater than standard metrics and ROUGE-1."	our experiments give a good correlation with PYRAMID at the macroevaluation level.	contrasting
train_93758	"From the above experiments, we conclude that tasks sensitive to under-estimation should use the CM-CU sketch, which guarantees over-estimation."	"if we are willing to make some underestimation error with less over-estimation error, then LCU-WS and LCU-SWS are recommended."	contrasting
train_145225	"Various statistical methods have also been proposed to filter out the mistakes or (spamming) random responses of the â€  Corresponding author crowdsource workers (Liu et al., 2012;Hovy et al., 2013;Nguyen et al., 2017)."	the way to filter out the mistakes or the random responses through statistical means is difficult to utilize for a fundamentally subjective annotation task.	contrasting
train_48633	This provides further evidence that M-BERT uses a representation that is able to incorporate information from multiple languages.	"m-BERT is not able to effectively transfer to a transliterated target, suggesting that it is the language model pre-training on a particular language that allows transfer to that language."	contrasting
train_120732	"To solve this problem, graph methods seem to be a good solution, because they are simple, generalizable, and are often used to model such complex dependency structures (Cohen, 2012)."	combining the sparse modeling and spectral graphical modeling approaches in a principled way is challenging.	contrasting
train_170610	"Generally speaking, only the factual information with high credibility has the value for use."	most expressions in social media are published with the hypothesis and episteme which cannot be decided whether it is true or false at that moment.	contrasting
train_135179	"Another way of performing language independent transfer resorts to multi-task learning, where a model is trained jointly across different languages by sharing parameters to allow for knowledge transfer (Ammar et al., 2016a;Cotterell and Duh, 2017;Lin et al., 2018)."	"such approaches usually require some amounts of training data in the target language for bootstrapping, which is different from our unsupervised approach that requires no labeled resources in the target language."	contrasting
train_88784	Figure 2 shows that the performance is almost constant on ungrammatical data in the important sentence length range from 5 to 40.	there is a negative correlation of accuracy and sentence length for grammatical sentences.	contrasting
train_135824	Word-by-word translation always outputs a target word for every position.	"there are a plenty of cases that multiple source words should be translated to a single target word, or that some source words are rather not translated to any word to make a fluent output."	contrasting
train_192652	"Example 11 shows the advantage of combining the vector representation with orthographic distance, i.e., our model could find translations of sleddogs that have similar meaning, while in examples 12 and 13 orthographic distance helped to pick the correct translation which is the closest in terms of edit distance."	in example 14 orthographic distance caused an error because the incorrect prediction is too close to the source word in orthographic distance.	contrasting
train_17717	"There are several different theories about relative prominence assignment in noun-noun (henceforth, NN) compounds, such as the structural theory (Bloomfield, 1933;Marchand, 1969;Heinz, 2004), the analogical theory (Schmerling, 1971;Olsen, 2000), the semantic theory (Fudge, 1984;Liberman and Sproat, 1992) and the informativeness theory (Bolinger, 1972;Ladd, 1984)."	"in most studies, the different theories are examined and applied in isolation, thus making it difficult to compare them directly."	contrasting
train_174555	"We took a snapshot of this page that provided us with 16,246 unique live blogs."	the BBC website has no such live blog archive.	contrasting
train_198950	"For instance, the English word 'wear' could be used to discover the seeds in an English-Chinese aligned corpus."	gaps between English and Chinese may produce incomplete sets of seeds.	contrasting
train_203051	"Chomsky, on the other hand, argues that the derivation is either by the Exceptional Case-marking (ECM) process under S-deletion (Chomsky, 1981) or by IPcomplementation (Chomsky, 1986)."	his motivation for not accepting the RTO analyses is mainly theoretical.	contrasting
train_32114	"This work also shares the spirit with Grefenstette (2013b) and Rocktaeschel et al. (2014), in exploring vector calculations that realize logic operations."	"the previous works did not specify how to integrate contextual distributional information, which is necessary for calculating semantic similarity."	contrasting
train_53935	"Without SVD (compare column 1 to 2 in Table 17), performance drops, but the drop is not statistically significant with 95% confidence, according to the Fisher Exact Test (Agresti 1990)."	we hypothesize that the drop in performance would be significant with a larger set of word pairs.	contrasting
train_159232	"Word representations based on the distributional hypothesis of Harris (1954) have become a dominant approach including word2vec (Mikolov et al., 2013) and GloVe (Pennington et al., 2014), which show remarkable performances in a wide spectrum of natural language processing."	a question arises about a relationship between a true word meaning and its distributed representation.	contrasting
train_55516	"As can be seen, some of the top features are either too specific (landlocked, airspace), and are thus less reliable, or too general (destination, ambition), thus not indicative and may co-occur with many different types of words."	"intuitively more characteristic features of country, like population and governor, occur further down the sorted feature list, at positions 461 and 832."	contrasting
train_32108	"The GS11 dataset appears to favor models that can learn from interactions between the subject and object arguments, such as the non-linear model Waddnl in Hashimoto et al. (2014) and the entanglement model in Kartsaklis and Sadrzadeh (2014)."	these models do not show particular advantages on other datasets.	contrasting
train_137509	"As a result, a large percentage of CoQA answers are named entities or short noun phrases, much like those in SQuAD."	the asymmetric nature of forces students to ask more exploratory questions whose answers can be potentially be followed up on.	contrasting
train_156851	Dependency parsing based methods have achieved much success in SRL.	"due to errors in dependency parsing, there remains a large performance gap between SRL based on oracle parses and SRL based on automatic parses in practice."	contrasting
train_73910	"When a voting strategy is used, ACA is ahead with 1.75% compared to Degree."	"it is important to note that when looking a the scores per part of speech, Degree exhibits notably higher results for nouns (85% versus 76.35%), while ACA performs much better for adverbs adjectives and verbs (83.98%, 82.44%, 74.16%)."	contrasting
train_104515	"The content selection discussed here is analogous to the selection of semantic attributes (type, color, size, etc) when generating a description of an entity (Dale and Haddock, 1991; Dale and Reiter, 1995)."	"instead of attributes, the content selection step in our model aims to choose the form of a proper name reference (which kind(s) of name and modifier(s) are part of the proper name reference)."	contrasting
train_64441	"Since large tagged corpora in Bulgarian are not widely available, the development of a corpus-based probabilistic tagger was an unrealistic goal for us."	"as some studies suggest (Voutilainen, 1995), the precision of rule-based taggers may exceed that of the probabilistic ones."	contrasting
train_46109	"Previous work in the context of phrase-based statistical machine translation (DaumÃ© III and Jagarlamudi, 2011) has noted that unseen (OOV) words account for a large portion of translation errors when switching to new domains."	"this problem of OOV words in cross-domain transfer is under-examined in the context of NMT, where both training methods and experimental results will differ greatly."	contrasting
train_81271	"More recently, Gong and Zhang (2016) propose an attention-based convolutional neural network, which incorporates a local attention channel and global channel for hashtag recommendation."	"to the best of our knowledge, there is no work yet on employing both topic models and deep neural networks for this task."	contrasting
train_97431	Entity linking in long text has been well studied in previous work.	short text entity linking is more challenging since the texts are noisy and less coherent.	contrasting
train_180705	"Because the CMQD model can easily hypothesize implausible degradations, we see the MAP increases modestly with a few degradations, but then MAP decreases."	the MAP of the phrase-based system (PBQD-Fac) increases through to 500 query degradations using multigrams.	contrasting
train_198040	"The weight initialization reduces the requirement on the training data for the source-target language pair by transferring knowledge from the parent task, thereby improving the performance on the child task."	the divergence between the source and the assisting language can adversely impact the benefits obtained from transfer learning.	contrasting
train_99483	"Surprisingly, students had initiative more of the time in the didactic dialogues (21% of the turns) than in the Socratic dialogues (10% of the turns), and there was no direct relationship between student initiative and learning."	"socratic dialogues were more interactive than didactic dialogues as measured by percentage of tutor utterances that were questions and percentage of words in the dialogue uttered by the student, and interactivity had a positive correlation with learning."	contrasting
train_74554	"Furthermore, in the second example, our PASbased method successfully recognizes the [AM-TMP] argument ""2005å¹´"" and move it to the end of sentence."	the BTG system only performs translation without any reordering.	contrasting
train_97451	"However, the soft-TF information in the descriptions of the two entities is similar."	m-CNN captures the whole meaning of the text and links the mention to the correct entity.	contrasting
train_210381	"Generally, languages acquired after the first language (L1) are usually called second languages (L2)."	"consensus has not yet been reached on the definition of the term 'the third language (L3)' (De Angelis, 2007)."	contrasting
train_205673	"Moreover, due to difficulties in utterance disentanglement similarily shown in Elsner and Charniak (2008)), we expect reduced effectiveness over our data of such information (although some degree of interaction exists)."	"to partly help with disentanglement, we noticed that some users mentioned the user name(s) of the users they are responding to in their posts, which allows us to identify the utterances they link to."	contrasting
train_223497	"As a result, their model needs to re-encode the partial sequence at every step, which is computationally more expensive."	our approach does not necessitate reencoding the entire sentence during generation.	contrasting
train_122591	"Motivated by this observation, we hypothesize that the reasons mentioned in the preceding post could be useful for predicting the reasons in the current post."	none of the models we have presented so far makes use of the reasons predicted for the preceding post.	contrasting
train_62935	"In this work we follow up on the findings of Rabinovich, Ordan, and Wintner (2017), who, by using language representations consisting of manually specified feature vectors, find that the structure of a language representation space is approximately preserved by translation."	"their analysis only stretches as far as finding a correlation between their language representations and genetic distance, even though the latter is correlated to several other factors."	contrasting
train_108971	We observe that backward constituent alignment-based models (1–4) perform similarly to word-based projection models (the F-score ranges between 0.40 and 0.45).	they obtain considerably higher precision (albeit lower recall) than the word-based models.	contrasting
train_33	"This apparent progress in spoken language technology has been fuelled by a number of developments: the relentless increase in desktop computing power, the introduction of statistical modelling techniques, the availability of vast quantities of recorded speech material, and the institution of public system evaluations."	"our understanding of the fundamental patterning in speech has progressed at a much slower pace, not least in the area of its high-level linguistic properties."	contrasting
train_152047	The experimental results show that target language side information gives the best performance in the experimental setting.	there are no large differences among the different selection results.	contrasting
train_37674	An ever increasing amount of data is becoming available for NMT training.	only the in-domain or relateddomain corpora tend to have a positive impact on NMT performance.	contrasting
train_115701	The unsupervised nature of the approach means good ability to deal with domain variation.	the approach did not show a segmentation performance as good as that of the supervised approach.	contrasting
train_65770	"Newswire text has long been a primary target for natural language processing (NLP) techniques such as information extraction, summarization, and question answering (e.g MUC (1998); NIS (2003); DUC (2003))."	"newswire does not offer direct access to facts, events, and opinions; rather, journalists report what they have experienced, and report on the experiences of others."	contrasting
